Stock Code,Name of Securities,Category,Sub-Category,Board Lot,Par Value,ISIN,Expiry Date,Subject to Stamp Duty,Shortsell Eligible,CAS Eligible,VCM Eligible,Admitted to Stock Options,Admitted to Stock Futures,Admitted to CCASS,ETF / Fund Manager,Debt Securities Board Lot (Nominal),Debt Securities Investor Type,POS Eligble,"Spread Table
1, 4 = Part A
3 = Part B
5 = Part D"
63526,UB#HSI  RP2301A,Callable Bull/Bear Contracts,,"10,000",,CH1192500879,30/01/2023,,,,,,,Y,,,,,1
63527,UB#HSI  RP2302A,Callable Bull/Bear Contracts,,"10,000",,CH1192500911,27/02/2023,,,,,,,Y,,,,,1
63528,UB#CGSH RP2304A,Callable Bull/Bear Contracts,,"5,000",,CH1192494420,28/04/2023,,,,,,,Y,,,,,1
63531,GS#TTI  RC2312A,Callable Bull/Bear Contracts,,"5,000",,,29/12/2023,,,,,,,Y,,,,,1
63534,GS#BOCL RC2312A,Callable Bull/Bear Contracts,,"10,000",,,28/12/2023,,,,,,,Y,,,,,1
63541,GS#C OVSRP2312A,Callable Bull/Bear Contracts,,"2,500",,,28/12/2023,,,,,,,Y,,,,,1
63542,GS#MTUANRP2310A,Callable Bull/Bear Contracts,,"5,000",,,18/10/2023,,,,,,,Y,,,,,1
63543,GS#JDCOMRP2312A,Callable Bull/Bear Contracts,,"2,500",,,29/12/2023,,,,,,,Y,,,,,1
63545,GS#ALIBARP2310A,Callable Bull/Bear Contracts,,"10,000",,,19/10/2023,,,,,,,Y,,,,,1
63567,JP#ALIBARP2304C,Callable Bull/Bear Contracts,,"10,000",,NLJPMSP0HYP1,14/04/2023,,,,,,,Y,,,,,1
